Precinct,Party,Votes
1,REP,729
1,DEM,268
2,REP,"1,128"
2,DEM,233
4,REP,"2,018"
4,DEM,"1,392"
6,REP,"1,978"
6,DEM,778
8,REP,"1,736"
8,DEM,714
9,REP,"1,267"
9,DEM,401
10,REP,"1,961"
10,DEM,954
12,REP,"1,299"
12,DEM,641
13,REP,691
13,DEM,306
14,REP,"3,212"
14,DEM,"1,708"
15,REP,"1,835"
15,DEM,"1,166"
17,REP,"1,643"
17,DEM,800
18,REP,885
18,DEM,469
19,REP,"3,102"
19,DEM,"1,526"
21,REP,"1,345"
21,DEM,912
23,REP,"1,675"
23,DEM,"1,090"
24,REP,"4,015"
24,DEM,"1,658"
25,REP,"1,589"
25,DEM,996
27,REP,"1,459"
27,DEM,"1,077"
30,REP,"1,328"
30,DEM,461
31,REP,"1,848"
31,DEM,913
33,REP,754
33,DEM,399
34,REP,"1,975"
34,DEM,"1,492"
35,REP,818
35,DEM,493
36,REP,897
36,DEM,486
37,REP,966
37,DEM,386
38,REP,"1,509"
38,DEM,892
39,REP,917
39,DEM,592
40,REP,"2,240"
40,DEM,"1,570"
42,REP,"1,470"
42,DEM,688
44,REP,"2,723"
44,DEM,"1,690"
46,REP,"1,002"
46,DEM,516
47,REP,"1,611"
47,DEM,872
48,REP,"1,623"
48,DEM,"1,047"
53,REP,527
53,DEM,208
54,REP,"1,005"
54,DEM,589
